FA2aQnwN6p6RgaLBJYC5FvgMwEg1bMXXgVdUv81SWxE87dqz64A4,2519810766094624,25198107.66094624
FA32b7G2iEv5xHqB49prDQ4UzRNk1tat5KLKVPgjACeRv1PyTFsu,2380387375894287,23803873.75894287
FA2Tav4pLACg8JWMWa2VFKo6rV5R3DCDrhtkxxxfLTwPWx9k4E7Q,1035000000000000,10350000
FA3KJ7Av4td7F6B2BtUUkmdgrfZLoubrX53SnC1DZNNrzSF9fYsD,980000000000000,9800000
FA3SjiVbV4JxGSTMX4SnF2fJoAC82kTHVzdCBgEUMeSDFKoVC5Qa,763648029011989,7636480.29011989
FA3Zcpiv9LmagPPaR672WveUQ1RTK7Mq4P65QEhs6HYZJaEhg9hx,700000000000000,7000000
FA3LDEA5fcskV6ZoFpKE84qPcjd7GYjEnswGHMZXL1V9d14wmgh3,671846142973908,6718461.42973908
FA2PmrqMYhQHZsvF2ZbM7PKjtvjzBMeuT5JLF9yCWeykRc7P9rwY,619105268696181,6191052.68696181
FA2tKHbuAgjFS6V3QqWhKbFE1gYHwqdE2iUf442c32FM7BCXViyC,482699684348966,4826996.84348966
FA2tuzi9ZuTAp5goriUMaUqirELq7wecL77R3XZMhp2cRjqiVHkL,434903157522957,4349031.57522957
FA3mMgabFv23oP6YWbPgLGmZ7vYx8JePBGww76fVVzs3XJyF75sL,413412232614770,4134122.3261477
FA3kPSkpwVBva9Wq9oMcbTsPHFQwcz58yNFrHXWxQtBeg4zUYV2y,375824074647596,3758240.74647596
FA2v54DsgmPxy8DtrdTBWwj2SbvB27JH3gkCPNsQ3HBd84QKv8Zh,343630698140108,3436306.98140108
FA2hfF5NvpFDmCSMZa8U2aMRgJobgYSzUrssHtD7P2opa51pWfvD,289617210028678,2896172.10028678
FA22ipp34No2NwDtPXfMe9JLu4v3HhvmWfpecobQZbRUasHh22Ao,253801163748228,2538011.63748228
FA2tgeWtrtt552XTiLuKn4NLWzBD8a3zCEZt6Sjpg936ytiAVDou,252676800000000,2526768
FA2V61y1zuRgzTSLbBtwzExp1NteZuAEMgrXEwNmhvz3DWRgbERp,243917706533704,2439177.06533704
FA3oC7bXxDEaBGmFkm8riUM64vpYVMMaH73VCvXFzNm1KExNYtbX,240414609123240,2404146.0912324
FA3T91J57Pdv3DztKJuZj38VViBeYUR3CfW5NogkVL441Fp1rqxm,212314900000000,2123149
FA2eJwse87hLWXGcfhokG36erBYor34cGA57LVdtmAPQ2hxteQKo,200000000000000,2000000
FA3VTcp9yBcKmfQLsziEcToVMx97e8LC7AuAwZjCwztE6PAKifMr,184621474347408,1846214.74347408
FA3oUQC5xMToVnMcHiRc5MJdrpHDWLSpumud76vr53nGyPbkaY3g,182140429929122,1821404.29929122
FA3XTqdc8vs6S7xgvvS3HQrDKHuQkhas6Qjs3kufxTf6L6oiWijm,167320060656747,1673200.60656747
FA34B4ACRHZ2RLanJaBvAVFNwta6rRwTqm95DALpnaSuunLvgPw9,148021383859299,1480213.83859299
FA3KYvKqQKoH9aRqFqjzqp5zt2PLmXLFe2cSqfpXxGicVpMnaBiN,139053234580533,1390532.34580533
